campaign_id,campaign_name,campaign_category,priority_level,target_amount
1001,Humanitarian Aid Campaign 1001,Healthcare,High,249083.74
1002,Humanitarian Aid Campaign 1002,Livelihood,Low,132863.6
1003,Humanitarian Aid Campaign 1003,Food Security,Medium,128977.32
1004,Humanitarian Aid Campaign 1004,Shelter,High,68449.93
1005,Humanitarian Aid Campaign 1005,Shelter,Medium,21587.15
1006,Humanitarian Aid Campaign 1006,Water & Sanitation,Medium,121098.47
1007,Humanitarian Aid Campaign 1007,Education,Low,37986.82
1008,Humanitarian Aid Campaign 1008,Healthcare,Medium,183574.52
1009,Humanitarian Aid Campaign 1009,Emergency Relief,High,70881.04
1010,Humanitarian Aid Campaign 1010,Food Security,Medium,18768.49
1011,Humanitarian Aid Campaign 1011,Water & Sanitation,Medium,33416.29
1012,Humanitarian Aid Campaign 1012,Healthcare,Medium,120281.48
1013,Humanitarian Aid Campaign 1013,Education,High,17538.24
1014,Humanitarian Aid Campaign 1014,Shelter,High,108019.95
1015,Humanitarian Aid Campaign 1015,Healthcare,Low,29936.81
1016,Humanitarian Aid Campaign 1016,Food Security,Medium,221753.95
1017,Humanitarian Aid Campaign 1017,Education,Medium,148959.3
1018,Humanitarian Aid Campaign 1018,Education,Medium,64555.78
1019,Humanitarian Aid Campaign 1019,Healthcare,High,149284.45
1020,Humanitarian Aid Campaign 1020,Healthcare,High,30338.67
1021,Humanitarian Aid Campaign 1021,Healthcare,Medium,25118.73
1022,Humanitarian Aid Campaign 1022,Education,Medium,40549.13
1023,Humanitarian Aid Campaign 1023,Education,High,57667.64
1024,Humanitarian Aid Campaign 1024,Water & Sanitation,Medium,218884.37
1025,Humanitarian Aid Campaign 1025,Emergency Relief,Low,13215.71
1026,Humanitarian Aid Campaign 1026,Livelihood,Low,121049.3
1027,Humanitarian Aid Campaign 1027,Emergency Relief,Medium,45347.31
1028,Humanitarian Aid Campaign 1028,Shelter,Medium,235366.05
1029,Humanitarian Aid Campaign 1029,Shelter,High,170628.52
1030,Humanitarian Aid Campaign 1030,Education,Low,115706.79
1031,Humanitarian Aid Campaign 1031,Healthcare,Low,190244.63
