donor_id,last_donation_date,frequency,monetary,recency,average_donation,donation_frequency_band
100001,2016-09-12,11,317.62,70,28.87,Frequent
100002,2016-07-05,4,71.5,139,17.88,Regular
100003,2016-08-03,10,413.8,110,41.38,Regular
100004,2015-09-22,4,130.81,426,32.7,Regular
100005,2016-02-21,4,111.77,274,27.94,Regular
100006,2015-06-06,6,196.15,534,32.69,Regular
100007,2016-02-09,5,118.13,286,23.63,Regular
100008,2016-10-19,8,217.37,33,27.17,Regular
100009,2016-10-26,5,101.21,26,20.24,Regular
100010,2015-06-08,3,355.08,532,118.36,Occasional
100011,2016-10-24,5,169.09,28,33.82,Regular
100012,2016-10-01,6,123.67,51,20.61,Regular
100013,2016-05-10,4,474.76,195,118.69,Regular
100014,2016-11-05,4,297.53,16,74.38,Regular
100015,2016-01-09,2,37.19,317,18.6,Occasional
100016,2016-03-16,7,273.26,250,39.04,Regular
100017,2015-09-23,5,156.37,425,31.27,Regular
100018,2016-11-17,6,150.4,4,25.07,Regular
100019,2016-08-31,5,90.29,82,18.06,Regular
100020,2016-01-12,6,144.24,314,24.04,Regular
100021,2016-09-12,9,237.24,70,26.36,Regular
100022,2016-10-07,7,195.96,45,27.99,Regular
100023,2016-07-16,5,88.92,128,17.78,Regular
100024,2015-09-29,2,135.75,419,67.88,Occasional
100025,2016-08-02,7,171.76,111,24.54,Regular
100026,2016-04-06,8,194.49,229,24.31,Regular
100027,2016-03-05,5,101.97,261,20.39,Regular
100028,2016-07-12,2,75.45,132,37.72,Occasional
100029,2016-09-12,2,93.42,70,46.71,Occasional
100030,2016-08-05,6,110.72,108,18.45,Regular
100031,2016-11-13,11,401.7,8,36.52,Frequent
100032,2016-10-30,6,307.06,22,51.18,Regular
100033,2016-08-09,5,213.0,104,42.6,Regular
100034,2016-05-01,6,206.61,204,34.44,Regular
100035,2016-03-18,7,221.06,248,31.58,Regular
100036,2016-08-20,3,215.74,93,71.91,Occasional
100037,2016-10-29,8,291.92,23,36.49,Regular
100038,2016-08-26,9,496.51,87,55.17,Regular
100039,2015-02-11,5,208.08,649,41.62,Regular
100040,2016-05-14,2,38.26,191,19.13,Occasional
100041,2016-09-28,5,196.94,54,39.39,Regular
100042,2016-10-07,6,134.79,45,22.46,Regular
100043,2016-08-06,9,270.44,107,30.05,Regular
100044,2016-02-27,6,264.23,268,44.04,Regular
100045,2015-11-08,3,134.31,379,44.77,Occasional
100046,2016-07-05,5,141.0,139,28.2,Regular
100047,2016-05-06,5,506.24,199,101.25,Regular
100048,2016-10-27,9,297.87,25,33.1,Regular
100049,2016-07-27,5,138.8,117,27.76,Regular
100050,2016-04-30,3,110.76,205,36.92,Occasional
100051,2016-08-30,10,403.73,83,40.37,Regular
100052,2016-07-20,3,142.66,124,47.55,Occasional
100053,2016-04-15,5,174.99,220,35.0,Regular
100054,2016-08-13,3,101.12,100,33.71,Occasional
100055,2016-11-18,11,511.86,3,46.53,Frequent
100056,2016-06-24,3,158.9,150,52.97,Occasional
100057,2016-02-21,8,229.9,274,28.74,Regular
100058,2016-06-19,2,28.48,155,14.24,Occasional
100059,2016-05-28,6,173.88,177,28.98,Regular
100060,2015-02-03,2,124.68,657,62.34,Occasional
100061,2016-06-10,5,135.43,164,27.09,Regular
100062,2015-12-05,5,107.71,352,21.54,Regular
100063,2016-10-27,6,224.43,25,37.4,Regular
100064,2016-10-24,6,315.28,28,52.55,Regular
100065,2016-07-11,4,203.91,133,50.98,Regular
100066,2016-09-29,6,274.22,53,45.7,Regular
100067,2016-07-27,2,15.96,117,7.98,Occasional
100068,2015-07-29,1,35.8,481,35.8,One-time
100069,2016-04-26,7,372.55,209,53.22,Regular
100070,2016-09-13,7,169.5,69,24.21,Regular
100071,2016-05-19,6,158.77,186,26.46,Regular
100072,2016-06-19,5,228.03,155,45.61,Regular
100073,2016-11-02,6,113.03,19,18.84,Regular
100074,2015-08-30,9,290.9,449,32.32,Regular
100075,2015-09-21,4,133.53,427,33.38,Regular
100076,2016-11-18,7,131.68,3,18.81,Regular
100077,2016-04-04,5,120.33,231,24.07,Regular
100078,2015-09-08,8,315.73,440,39.47,Regular
100079,2016-10-13,3,110.81,39,36.94,Occasional
100080,2015-12-22,7,151.3,335,21.61,Regular
100081,2016-10-03,10,367.5,49,36.75,Regular
100082,2016-10-26,7,210.71,26,30.1,Regular
100083,2016-06-28,5,110.07,146,22.01,Regular
100084,2016-10-16,8,211.0,36,26.38,Regular
100085,2016-03-11,9,305.51,255,33.95,Regular
100086,2016-05-22,5,189.75,183,37.95,Regular
100087,2016-10-10,8,278.34,42,34.79,Regular
100088,2015-07-19,4,87.6,491,21.9,Regular
100089,2016-11-01,5,357.8,20,71.56,Regular
100090,2015-09-24,2,32.19,424,16.1,Occasional
100091,2016-08-07,7,235.52,106,33.65,Regular
100092,2016-04-30,11,434.24,205,39.48,Frequent
100093,2016-01-12,6,297.4,314,49.57,Regular
100094,2016-10-23,4,130.2,29,32.55,Regular
100095,2016-07-19,3,84.71,125,28.24,Occasional
100096,2016-08-23,6,192.8,90,32.13,Regular
100097,2016-05-05,4,87.92,200,21.98,Regular
100098,2016-01-24,6,182.92,302,30.49,Regular
100099,2015-07-29,2,88.34,481,44.17,Occasional
100100,2016-08-05,4,136.23,108,34.06,Regular
100101,2016-09-29,4,99.81,53,24.95,Regular
100102,2016-05-28,4,186.06,177,46.52,Regular
100103,2016-08-05,9,243.51,108,27.06,Regular
100104,2016-10-13,5,190.27,39,38.05,Regular
100105,2016-03-30,7,215.5,236,30.79,Regular
100106,2016-05-08,7,226.64,197,32.38,Regular
100107,2016-05-18,9,233.44,187,25.94,Regular
100108,2016-06-13,3,112.06,161,37.35,Occasional
100109,2016-02-18,7,322.19,277,46.03,Regular
100110,2016-07-11,10,326.55,133,32.66,Regular
100111,2016-11-18,6,275.76,3,45.96,Regular
100112,2016-11-03,7,189.84,18,27.12,Regular
100113,2016-04-23,3,115.17,212,38.39,Occasional
100114,2016-09-13,7,197.12,69,28.16,Regular
100115,2016-11-06,10,498.53,15,49.85,Regular
100116,2016-11-18,8,152.06,3,19.01,Regular
100117,2016-08-18,4,133.94,95,33.48,Regular
100118,2016-07-19,9,270.04,125,30.0,Regular
100119,2016-10-28,10,233.98,24,23.4,Regular
100120,2016-06-06,7,305.06,168,43.58,Regular
100121,2016-10-01,6,113.52,51,18.92,Regular
100122,2016-10-12,7,252.0,40,36.0,Regular
100123,2016-10-10,8,328.31,42,41.04,Regular
100124,2016-04-09,6,221.78,226,36.96,Regular
100125,2016-10-21,7,248.85,31,35.55,Regular
100126,2016-09-09,5,147.9,73,29.58,Regular
100127,2016-06-21,5,162.45,153,32.49,Regular
100128,2016-09-02,5,108.38,80,21.68,Regular
100129,2016-11-13,8,408.37,8,51.05,Regular
