donor_id,donor_age,donor_gender,donor_country,donor_type,registration_date,last_donation_date,frequency,monetary,average_donation,recency,r_score,f_score,m_score,rfm_score,recency_log,frequency_log,monetary_log,cluster_id,segment_name,segment_color,engagement_strategy
100001,22,Male,Peru,Small Business,2016-05-12,2016-09-12,11,317.62,28.87,70,4,5,5,455,4.2626798770413155,2.4849066497880004,5.763999170144749,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100002,59,Female,India,Individual,2015-04-12,2016-07-05,4,71.5,17.88,139,3,1,1,311,4.941642422609304,1.6094379124341003,4.283586561860629,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100003,52,Female,Philippines,Individual,2015-12-14,2016-08-03,10,413.8,41.38,110,3,5,5,355,4.709530201312334,2.3978952727983707,6.027796476355372,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100004,41,Female,Uganda,NGO,2016-09-13,2015-09-22,4,130.81,32.7,426,1,1,2,112,6.056784013228625,1.6094379124341003,4.881361491724374,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100005,40,Male,Peru,Individual,2014-02-19,2016-02-21,4,111.77,27.94,274,2,1,2,212,5.616771097666572,1.6094379124341003,4.725350346244197,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100006,63,Male,India,Individual,2014-04-23,2015-06-06,6,196.15,32.69,534,1,3,3,133,6.282266746896006,1.9459101490553132,5.283964860323636,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100007,22,Female,Costa Rica,Individual,2016-07-31,2016-02-09,5,118.13,23.63,286,2,2,2,222,5.659482215759621,1.791759469228055,4.780215333811269,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100008,54,Female,United States,Individual,2015-08-06,2016-10-19,8,217.37,27.17,33,5,4,3,543,3.5263605246161616,2.1972245773362196,5.386190871798276,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100009,28,Female,Tajikistan,NGO,2015-09-26,2016-10-26,5,101.21,20.24,26,5,2,1,521,3.295836866004329,1.791759469228055,4.627029520340985,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100010,22,Female,Colombia,Individual,2014-12-16,2015-06-08,3,355.08,118.36,532,1,1,5,115,6.278521424165844,1.3862943611198906,5.875155424707599,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100011,45,Male,Colombia,Individual,2016-04-27,2016-10-24,5,169.09,33.82,28,5,2,3,523,3.367295829986474,1.791759469228055,5.136327708726,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100012,69,Male,Pakistan,Individual,2015-10-25,2016-10-01,6,123.67,20.61,51,4,3,2,432,3.9512437185814275,1.9459101490553132,4.825670246356884,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100013,56,Male,Philippines,Individual,2014-09-22,2016-05-10,4,474.76,118.69,195,2,1,5,215,5.278114659230517,1.6094379124341003,6.1649135253983385,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100014,58,Male,Nigeria,Individual,2015-10-27,2016-11-05,4,297.53,74.38,16,5,1,5,515,2.833213344056216,1.6094379124341003,5.69887043029518,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100015,56,Male,Bolivia,Individual,2014-01-05,2016-01-09,2,37.19,18.6,317,1,1,1,111,5.762051382780177,1.0986122886681098,3.6425737012374246,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100016,59,Female,Peru,Small Business,2014-09-04,2016-03-16,7,273.26,39.04,250,2,4,4,244,5.5254529391317835,2.0794415416798357,5.614076561571708,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100017,45,Male,Tanzania,Individual,2014-07-29,2015-09-23,5,156.37,31.27,425,1,2,2,122,6.054439346269371,1.791759469228055,5.058599720612773,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100018,24,Male,Ecuador,Individual,2016-03-16,2016-11-17,6,150.4,25.07,4,5,3,2,532,1.6094379124341003,1.9459101490553132,5.019925341003349,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100019,62,Female,El Salvador,Individual,2016-01-24,2016-08-31,5,90.29,18.06,82,4,2,1,421,4.418840607796598,1.791759469228055,4.514041252576989,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
